CAPTL_WF,CATHROCK
0.0,0.651060561
0.0,0.653333318
0.0,0.653333318
0.0,0.636969652
0.0,0.649242394
0.0,0.637424182
0.0,0.650606045
0.0,0.637878758
0.0,0.650909076
0.0,0.650909076
0.0,0.636363576
0.0,0.636363576
0.0,0.636363576
0.0,0.636363576
0.0,0.636363576
0.0,0.636969652
0.0,0.637272697
0.0,0.636515121
0.0,0.637575727
0.0,0.635757561
0.0,0.640151455
0.0,0.636969652
0.0,0.622424212
0.0,0.638181803
0.0,0.638787818
0.0,0.637878758
0.0,0.645151485
0.0,0.63545453
0.0,0.638787818
0.0,0.638787818
0.0,0.631969682
0.0,0.644242379
0.0,0.642272712
0.0,0.633787848
0.0,0.638484833
0.0,0.634393924
0.0,0.653181773
0.0,0.645151485
0.0,0.65075753
0.0,0.654696955
0.0,0.648333288
0.0,0.658484833
0.0,0.66984847
0.0,0.664393909
0.0,0.661212061
0.0,0.668484833
0.0,0.662878727
0.0,0.666969652
0.0,0.673333318
0.0,0.661969682
0.0,0.679090848
0.0,0.675909045
0.0,0.691363591
0.0,0.688030242
0.0,0.704393909
0.0,0.710757515
0.0,0.6901515
0.0,0.701969667
0.0,0.712424197
0.0,0.704393909
0.0,0.674545409
0.0,0.67984847
0.0,0.618636333
0.0,0.565454545
0.0,0.540909045
0.0,0.484545424
0.0,0.387878758
0.0,0.390909076
0.0,0.328333303
0.0,0.321666667
0.0,0.297424227
0.0,0.272424242
0.0,0.292727273
0.0,0.343636333
0.0,0.322272712
0.0,0.374696939
0.0,0.289545439
0.0,0.284393924
0.0,0.354090894
0.0,0.351060576
0.0,0.41560603
0.0,0.408333318
0.0,0.38499997
0.0,0.400909076
0.0,0.380151485
0.0,0.325909061
0.0,0.321818152
0.0,0.346515136
0.0,0.413484833
0.0,0.203484833
0.0,0.199999985
0.0,0.114242409
0.0,0.160303015
0.0,0.119545439
0.0,0.15545453
0.0,0.241060591
0.0,0.179393924
0.0,0.219696955
0.0,0.187121197
0.0,0.214545439
0.0,0.298030273
0.0,0.315909061
0.0,0.351818167
0.0,0.320454545
0.0,0.305757545
0.0,0.289393909
0.0,0.274242394
0.0,0.291666636
0.0,0.271666636
0.0,0.264696955
0.0,0.259393924
0.0,0.213030288
0.0,0.221363621
0.0,0.184999985
0.0,0.137727258
0.0,0.121363621
0.0,0.118484848
0.0,0.112727273
0.0,0.087424242
0.0,0.059545455
0.0,0.025757576
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05568575,0.0
0.146485686,0.0
0.169885693,0.0
0.2321143,0.0
0.259742843,0.0
0.298685786,0.0
0.316428593,0.0
0.289771379,0.0
0.277114214,0.0
0.309400071,0.0
0.35854285,0.0
0.348257121,0.0
0.309828621,0.0
0.35854285,0.0
0.372114343,0.0
0.354314314,0.0
0.426399993,0.0
0.406742857,0.0
0.515314264,0.0
0.603342871,0.0
0.631399971,0.0
0.6674857,0.0
0.691342814,0.025757576
0.635199957,0.037121212
0.651114329,0.049393939
0.619257136,0.049242424
0.632000079,0.063636364
0.602885657,0.076363621
0.558914293,0.106212121
0.570600021,0.122878788
0.597257121,0.159696955
0.622028571,0.1851515
0.649257221,0.250303015
0.680599979,0.20984847
0.6520571,0.298030273
0.606685636,0.249242409
0.5546572,0.323787864
0.536371393,0.321515136
0.529371429,0.304999985
0.472257121,0.349090894
0.419400021,0.369393924
0.376742879,0.393333318
0.354314314,0.372575727
0.3506,0.451515106
0.371599907,0.562424227
0.38659995,0.614696909
0.416542814,0.616818167
0.43434285,0.627121197
0.419399914,0.656363576
0.382399964,0.676060591
0.374028557,0.738181773
0.3520571,0.731363591
0.3042572,0.766515091
0.266828593,0.774393894
0.224628557,0.75499997
0.180257086,0.766212061
0.147457121,0.787575697
0.0973429,0.788939333
0.080971421,0.786060561
0.123028564,0.783333288
0.1329143,0.782575727
0.133314293,0.786515091
0.087057171,0.791969652
0.063628607,0.784545439
0.046342907,0.770454515
0.0,0.771818167
0.0,0.773636333
0.0,0.774393894
0.0,0.776060561
0.0,0.770909045
0.0,0.764393894
0.0,0.770454515
0.0,0.778181773
0.0,0.769090879
0.0,0.747878742
0.0,0.750909061
0.0,0.762121136
0.0,0.758181773
0.0,0.758030288
0.0,0.7554545
0.0,0.757878742
0.0,0.753636333
0.0,0.754545379
0.0,0.758939333
0.0,0.758939333
0.0,0.758939333
0.0,0.744090864
0.0,0.729696909
0.0,0.741363576
0.0,0.741363576
0.0,0.758181773
0.0,0.75590903
0.0,0.75590903
0.0,0.756363606
0.0,0.757575697
0.0,0.756515091
0.0,0.756515091
0.0,0.759242379
0.0,0.75590903
0.0,0.743636333
0.0,0.743636333
0.0,0.743636333
0.0,0.741969652
0.0,0.742121152
0.0,0.754393894
0.0,0.741818106
0.0,0.741818106
0.0,0.741818106
0.0,0.726666652
0.0,0.726666652
0.0,0.722575742
0.0,0.728181788
0.0,0.735757545
0.0,0.726363621
0.0,0.729242379
0.0,0.723787833
0.0,0.718181788
0.0,0.732878773
0.0,0.722727227
0.0,0.730909061
0.0,0.741969652
0.0,0.729999939
0.0,0.729242379
0.0,0.711969667
0.0,0.711969667
0.0,0.714545394
0.0,0.712878712
0.0,0.707424227
0.0,0.709848455
0.0,0.713181758
0.0,0.708787864
0.0,0.696363621
0.0,0.693181758
0.0,0.697727197
0.0,0.697878758
0.0,0.674393909
0.0,0.702272697
0.0,0.701818121
0.0,0.696212076
0.0,0.697727197
0.0,0.698787864
0.0,0.699242394
0.0,0.698939348
0.0,0.690303
0.0,0.687272682
0.0,0.69530297
0.0,0.694696939
0.0,0.688787864
0.0,0.699545424
0.0,0.68984847
0.0,0.681969667
0.0,0.699999955
0.0,0.688787864
0.0,0.693030273
0.0,0.697878758
0.0,0.683939333
0.0,0.69515147
0.0,0.694696939
0.0,0.6901515
0.0,0.694545394
0.0,0.702272697
0.0,0.685909045
0.0,0.690757515
0.0,0.698333273
